flight_number,name,launch_year,success,class,rocket,payloads,launchpad
74,Iridium NEXT Mission 8,2019,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4cab6c3bb0006eeb231'],5e9e4502f509092b78566f87
75,Nusantara Satu (PSN-6) / S5 / Beresheet,2019,True,1,5e9d0d95eda69973a809d1ec,"['5eb0e4cab6c3bb0006eeb232', '5eb0e4cab6c3bb0006eeb233', '5eb0e4cab6c3bb0006eeb234']",5e9e4501f509094ba4566f84
76,CCtCap Demo Mission 1,2019,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4cbb6c3bb0006eeb235'],5e9e4502f509094188566f88
77,ArabSat 6A,2019,True,1,5e9d0d95eda69974db09d1ed,['5eb0e4cbb6c3bb0006eeb236'],5e9e4502f509094188566f88
78,CRS-17,2019,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4cbb6c3bb0006eeb237'],5e9e4501f509094ba4566f84
79,Starlink v0.9,2019,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4cbb6c3bb0006eeb238'],5e9e4501f509094ba4566f84
80,RADARSAT Constellation,2019,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4ccb6c3bb0006eeb239'],5e9e4502f509092b78566f87
81,STP-2,2019,True,1,5e9d0d95eda69974db09d1ed,"['5eb0e4ccb6c3bb0006eeb23a', '5eb0e4ccb6c3bb0006eeb23b', '5eb0e4ccb6c3bb0006eeb23c', '5eb0e4ccb6c3bb0006eeb23d', '5eb0e4ccb6c3bb0006eeb23e', '5eb0e4cdb6c3bb0006eeb23f', '5eb0e4cdb6c3bb0006eeb240', '5eb0e4cdb6c3bb0006eeb241', '5eb0e4cdb6c3bb0006eeb242', '5eb0e4cdb6c3bb0006eeb243', '5eb0e4cdb6c3bb0006eeb244', '5eb0e4cdb6c3bb0006eeb245', '5eb0e4ceb6c3bb0006eeb246', '5eb0e4ceb6c3bb0006eeb247', '5eb0e4ceb6c3bb0006eeb248', '5eb0e4ceb6c3bb0006eeb249']",5e9e4502f509094188566f88
82,CRS-18,2019,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4ceb6c3bb0006eeb24a'],5e9e4501f509094ba4566f84
83,Amos-17,2019,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4cfb6c3bb0006eeb24b'],5e9e4501f509094ba4566f84
84,Starlink-1,2019,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4cfb6c3bb0006eeb24c'],5e9e4501f509094ba4566f84
85,CRS-19,2019,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4cfb6c3bb0006eeb24d'],5e9e4501f509094ba4566f84
86,JCSat 18 / Kacific 1,2019,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4cfb6c3bb0006eeb24e'],5e9e4501f509094ba4566f84
87,Starlink-2,2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4cfb6c3bb0006eeb24f'],5e9e4501f509094ba4566f84
88,Crew Dragon In Flight Abort Test,2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d0b6c3bb0006eeb250'],5e9e4502f509094188566f88
89,Starlink-3,2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d0b6c3bb0006eeb251'],5e9e4501f509094ba4566f84
90,Starlink-4,2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d0b6c3bb0006eeb252'],5e9e4501f509094ba4566f84
91,CRS-20,2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d0b6c3bb0006eeb253'],5e9e4501f509094ba4566f84
92,Starlink-5,2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d0b6c3bb0006eeb254'],5e9e4502f509094188566f88
93,Starlink-6,2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d1b6c3bb0006eeb255'],5e9e4502f509094188566f88
94,CCtCap Demo Mission 2,2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d1b6c3bb0006eeb257'],5e9e4502f509094188566f88
95,Starlink-7,2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d1b6c3bb0006eeb256'],5e9e4501f509094ba4566f84
96,Starlink-8 & SkySat 16-18,2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d1b6c3bb0006eeb258'],5e9e4501f509094ba4566f84
97,GPS III SV03 (Columbus),2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d2b6c3bb0006eeb25c'],5e9e4501f509094ba4566f84
98,ANASIS-II,2020,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d2b6c3bb0006eeb25b'],5e9e4501f509094ba4566f84
